kulstar,杀星,5,9,9,10,10
heliocor,赫利俄光锤,25,30,30,30,50
nagantaka,噬蛇弩,14,15,19,20,20
ocucor,视使之触,280,280,290,297,300
falcor,猎鹰轮,35,39,40,40,40
paracesis,心智之殁,10,15,18,18,19
exergis,晶能放射器,10,14,16,20,20
battacor,武使之力,10,15,15,17,20
euphona_prime,悦音 Prime,10,10,15,15,15
fusilai,齐射玻刃,5,8,9,10,10
lato,拉托,30,39,40,40,50
magnus,麦格努斯,5,8,10,10,15
ack_and_brunt,认知 & 冲击,14,15,15,20,20
amphis,双头蛇,15,15,15,15,15
anku,夺魂死神,49,50,50,50,50
arca_titron,弧电振子锤,200,230,250,250,250
balla,宝拉,35,50,50,60,70
boltace,螺钉拐刃,9,10,14,15,20
broken_war,破碎的战争之剑,15,15,15,20,20
caustacyst,灼蚀变体镰,15,20,20,28,40
cerata,裸鳃刃,25,45,50,70,70
hate,憎恨,150,150,170,170,180
soma,月神,30,30,40,40,50
synapse,突触生化枪,10,20,25,29,30
tigris,猛虎,10,15,15,15,15
tonkor,征服榴炮,30,30,33,34,35
torid,托里德,550,550,594,595,595
vectis,守望者,25,27,30,35,40
veldt,草原猎手,6,7,9,10,10
vulkar,金工火神,5,5,8,9,10
zarr,沙皇,10,15,15,15,20
zenith,天穹之顶,47,50,50,55,60
zhuge,诸葛连弩,10,10,10,10,10
acrid,阿克里德,5,9,10,10,10
afuris,盗贼双枪,10,20,20,25,29
akbolto,螺钉双枪,5,10,10,15,19
akbronco,野马双枪,5,5,10,10,15
akjagara,觉醒双枪,14,15,15,15,20
aklato,拉托双枪,5,5,5,7,8
arca_scisco,弧电探知者,10,10,10,15,20
cycron,循环离子枪,20,20,20,28,30
detron,德特昂,10,15,18,19,20
embolist,安柏勒斯,10,15,15,15,15
dual_kamas,双短柄战镰,5,10,10,15,15
kuva_shildeg,赤毒·希尔德,10,15,15,20,20
kuva_ayanga,赤毒·怒雷,25,35,40,45,45
vermisplicer,虫置,24,25,29,30,30
sporelacer,孢射,15,15,20,20,25
argonak,氩格纳克,10,11,15,19,20
castanas,雷爆信镖,5,8,8,10,10
cestra,锡斯特,39,40,60,75,80
dual_toxocyst,毒囊双枪,299,300,300,300,300
hystrix,豪猪,10,19,19,20,20
fragor,重击巨锤,30,39,39,49,50
galatine,迦伦提恩,19,20,25,45,50
gazal_machete,加扎勒反曲刀,9,10,15,20,20
gram,格拉姆,30,33,37,40,50
guandao,关刀,15,20,20,30,35
gunsen,军扇,15,18,19,20,25
dual_skana,空刃双刀,10,10,15,15,20
jaw_sword,蛇颚刀,15,15,15,15,20
kesheg,怯薛,5,15,40,50,50
kestrel,红隼,9,10,10,10,15
kronsh,客隆什,29,29,30,40,50
ballistica,布里斯提卡,10,10,10,15,15
heat_dagger,烈焰匕首,5,10,10,10,10
jat_kittag,喷射战锤,25,30,30,40,40
sonicor,超音波冲击枪,5,5,9,9,10
tombfinger,墓指,25,30,49,50,50
gaze,凝目,7,10,15,15,20
pupacyst,毒囊骨茧,10,10,15,15,20
arca_plasmor,弧电离子枪,30,30,30,40,45
galvacord,电流刺索,7,10,10,10,10
bronco,野马,19,19,20,20,20
dual_cestra,锡斯特双枪,5,5,10,19,30
furis,盗贼,150,150,150,150,150
ankyros,甲龙双拳,8,10,15,20,20
atterax,阿特拉克斯,5,10,10,14,15
bo,玻之武杖,25,40,55,60,65
cassowar,鹤鸵长戟,8,10,10,15,15
ceramic_dagger,陶瓷匕首,270,299,299,325,340
halikar,哈利卡,10,15,19,19,20
hirudo,蚂蟥,15,19,40,99,100
mire,米尔,9,15,15,17,20
twin_krohkur,双子克鲁古尔,10,10,15,20,20
latron,拉特昂,138,150,150,150,150
lenz,楞次弓,9,9,10,15,18
miter,米特尔,10,20,23,29,30
mutalist_cernos,异融西诺斯,10,10,14,15,15
mutalist_quanta,异融量子枪,9,10,10,10,10
opticor,奥堤克光子枪,10,10,10,10,14
panthera,猎豹,8,9,10,10,10
penta,潘塔,15,18,20,20,20
phage,噬菌者,20,29,30,30,30
phantasma,幻离子,19,20,25,29,30
quanta,量子切割器,16,16,19,20,20
rubico,绝路,30,35,40,45,48
simulor,重力奇点拟成枪,9,10,10,10,15
snipetron,狙击特昂,10,10,10,15,15
sobek,鳄神,15,20,26,29,29
stradavar,斯特拉迪瓦,1,10,10,10,10
strun,斯特朗,80,88,90,100,100
sybaris,席芭莉丝,70,70,70,70,80
tetra,特拉,15,20,25,25,30
gammacor,咖玛腕甲枪,24,24,34,39,40
nukor,努寇微波枪,20,40,45,45,45
pandero,手鼓,9,10,12,15,20
pox,脓痘,10,15,15,19,20
pyrana,食人鱼,10,10,20,20,20
sicarus,暗杀者,50,69,70,71,73
spira,旋刃飞刀,5,10,10,10,10
dehtat,德塔特,10,10,11,14,15
destreza,技巧之剑,15,18,20,25,30
dex_dakra,Dex 达克拉双剑,10,10,15,20,30
dokrahm,多克拉姆,15,19,20,25,30
dragon_nikana,龙之侍刃,10,10,19,19,20
dual_cleavers,斩肉双刀,15,15,19,20,20
