url_name,zh_name,platinum1,platinum2,platinum3,platinum4,platinum5,platinum_avg
kulstar,杀星,8,10,10,10,10,9.6
heliocor,赫利俄光锤,25,25,30,30,34,28.8
nagantaka,噬蛇弩,15,19,20,20,20,18.8
ocucor,视使之触,250,259,260,280,280,265.8
falcor,猎鹰轮,50,60,80,80,80,70.0
paracesis,心智之殁,30,35,40,40,50,39.0
exergis,晶能放射器,7,10,10,15,20,12.4
battacor,武使之力,14,14,15,20,20,16.6
euphona_prime,悦音 Prime,10,10,10,10,10,10.0
fusilai,齐射玻刃,10,10,10,10,10,10.0
lato,拉托,20,25,30,30,40,29.0
magnus,麦格努斯,10,10,10,10,15,11.0
ack_and_brunt,认知 & 冲击,13,14,15,15,20,15.4
amphis,双头蛇,15,15,17,25,27,19.8
anku,夺魂死神,20,25,25,30,32,26.4
arca_titron,弧电振子锤,199,200,200,200,220,203.8
balla,宝拉,35,40,40,40,50,41.0
boltace,螺钉拐刃,10,10,10,10,10,10.0
broken_war,破碎的战争之剑,50,50,50,50,60,52.0
caustacyst,灼蚀变体镰,23,25,25,29,30,26.4
cerata,裸鳃刃,20,30,35,40,40,33.0
hate,憎恨,160,180,200,200,200,188.0
soma,月神,10,25,30,35,35,27.0
synapse,突触生化枪,20,30,30,40,40,32.0
tigris,猛虎,10,14,15,15,15,13.8
tonkor,征服榴炮,25,30,30,35,35,31.0
torid,托里德,600,660,688,690,699,667.4
vectis,守望者,19,20,40,40,50,33.8
veldt,草原猎手,5,10,10,19,20,12.8
vulkar,金工火神,10,20,20,20,25,19.0
zarr,沙皇,15,20,20,21,25,20.2
zenith,天穹之顶,20,30,30,30,30,28.0
zhuge,诸葛连弩,9,10,15,15,15,12.8
acrid,阿克里德,10,10,10,20,20,14.0
afuris,盗贼双枪,10,15,19,20,20,16.8
akbolto,螺钉双枪,6,10,10,10,15,10.2
akbronco,野马双枪,8,9,10,10,10,9.4
akjagara,觉醒双枪,10,15,15,15,20,15.0
aklato,拉托双枪,10,10,10,10,10,10.0
arca_scisco,弧电探知者,9,10,10,10,10,9.8
cycron,循环离子枪,15,20,27,30,30,24.4
detron,德特昂,15,15,20,20,20,18.0
embolist,安柏勒斯,10,20,20,20,30,20.0
dual_kamas,双短柄战镰,10,12,49,50,55,35.2
kuva_shildeg,赤毒·希尔德,19,20,20,20,30,21.8
kuva_ayanga,赤毒·怒雷,19,30,40,40,40,33.8
vermisplicer,虫置,8,10,20,25,30,18.6
sporelacer,孢射,20,25,30,40,40,31.0
argonak,氩格纳克,9,10,15,20,20,14.8
castanas,雷爆信镖,10,10,10,10,10,10.0
cestra,锡斯特,66,70,95,100,100,86.2
dual_toxocyst,毒囊双枪,330,349,349,350,350,345.6
hystrix,豪猪,9,10,10,15,19,12.6
fragor,重击巨锤,1,18,25,30,30,20.8
galatine,迦伦提恩,10,12,13,15,20,14.0
gazal_machete,加扎勒反曲刀,5,10,20,20,20,15.0
gram,格拉姆,20,30,30,35,40,31.0
guandao,关刀,35,35,38,40,40,37.6
gunsen,军扇,15,20,20,25,30,22.0
dual_skana,空刃双刀,20,30,40,50,65,41.0
jaw_sword,蛇颚刀,10,10,14,15,15,12.8
kesheg,怯薛,8,15,15,20,20,15.6
kestrel,红隼,9,9,10,10,15,10.6
kronsh,客隆什,30,45,45,45,50,43.0
ballistica,布里斯提卡,10,20,20,20,30,20.0
heat_dagger,烈焰匕首,9,10,10,10,10,9.8
jat_kittag,喷射战锤,25,28,30,30,35,29.6
sonicor,超音波冲击枪,5,5,9,10,10,7.8
tombfinger,墓指,30,35,40,40,50,39.0
gaze,凝目,8,10,19,20,20,15.4
pupacyst,毒囊骨茧,10,15,16,18,19,15.6
arca_plasmor,弧电离子枪,25,29,29,30,30,28.6
galvacord,电流刺索,10,10,10,10,12,10.4
bronco,野马,20,20,30,39,40,29.8
dual_cestra,锡斯特双枪,10,10,10,10,10,10.0
furis,盗贼,135,138,140,150,150,142.6
ankyros,甲龙双拳,10,10,15,15,35,17.0
atterax,阿特拉克斯,10,10,10,15,15,12.0
bo,玻之武杖,65,70,70,70,79,70.8
cassowar,鹤鸵长戟,4,5,9,10,15,8.6
ceramic_dagger,陶瓷匕首,350,370,380,380,400,376.0
halikar,哈利卡,10,15,20,20,24,17.8
hirudo,蚂蟥,19,20,20,35,45,27.8
mire,米尔,9,10,15,17,20,14.2
twin_krohkur,双子克鲁古尔,12,15,20,25,30,20.4
latron,拉特昂,135,136,138,139,140,137.6
lenz,楞次弓,10,20,25,30,39,24.8
miter,米特尔,40,65,69,70,80,64.8
mutalist_cernos,异融西诺斯,15,15,15,20,20,17.0
mutalist_quanta,异融量子枪,8,9,10,10,15,10.4
opticor,奥堤克光子枪,9,10,18,25,25,17.4
panthera,猎豹,8,10,10,10,15,10.6
penta,潘塔,8,10,15,16,19,13.6
phage,噬菌者,10,20,24,25,29,21.6
phantasma,幻离子,25,30,40,40,40,35.0
quanta,量子切割器,15,15,15,20,20,17.0
rubico,绝路,30,35,40,40,40,37.0
simulor,重力奇点拟成枪,4,10,10,10,15,9.8
snipetron,狙击特昂,9,10,10,10,10,9.8
sobek,鳄神,20,23,25,30,30,25.6
stradavar,斯特拉迪瓦,5,7,9,9,10,8.0
strun,斯特朗,50,65,65,69,70,63.8
sybaris,席芭莉丝,60,70,80,80,80,74.0
tetra,特拉,20,20,20,20,24,20.8
gammacor,咖玛腕甲枪,15,15,20,20,25,19.0
nukor,努寇微波枪,19,20,30,30,30,25.8
pandero,手鼓,5,10,10,20,25,14.0
pox,脓痘,20,39,49,50,50,41.6
pyrana,食人鱼,15,25,25,30,30,25.0
sicarus,暗杀者,55,55,60,70,100,68.0
spira,旋刃飞刀,5,10,10,10,13,9.6
dehtat,德塔特,10,12,15,20,30,17.4
destreza,技巧之剑,15,20,30,30,35,26.0
dex_dakra,Dex 达克拉双剑,10,15,15,15,15,14.0
dokrahm,多克拉姆,8,25,30,40,45,29.6
dragon_nikana,龙之侍刃,10,10,18,18,20,15.2
dual_cleavers,斩肉双刀,15,20,20,20,20,19.0
dual_ether,苍穹双剑,20,25,25,25,35,26.0
dual_heat_swords,烈焰双剑,10,10,15,20,20,15.0
dual_ichor,恶脓双斧,170,188,188,190,200,187.2
dual_keres,凯瑞斯双刀,20,25,25,25,29,24.8
kama,短柄战镰,8,10,12,15,15,12.0
kogake,科加基,15,20,20,20,25,20.0
multron,多连穿甲枪,25,30,30,35,40,32.0
vulcax,金工火舌,20,20,20,30,30,24.0
masseter,咀嚼金棒,10,12,12,15,15,12.8
pathocyst,病囊飞刃,15,20,28,29,30,24.4
kuva_chakkhurr,赤毒·邪眼,15,18,20,20,20,18.6
lecta,勒克塔,39,39,40,40,50,41.6
machete,马谢特砍刀,15,20,30,52,60,35.4
magistar,执法者,569,570,595,600,600,586.8
mewan,密丸,15,20,20,30,30,23.0
mios,牡狮神,10,10,14,15,15,12.8
rabvee,拉比威,40,40,49,50,73,50.4
war,战争之剑,15,18,18,20,22,18.6
artax,阿塔克斯,17,25,30,34,35,28.2
burst_laser,激光点发,19,30,30,40,45,32.8
deth_machine_rifle,死亡机枪,20,25,38,40,45,33.6
laser_rifle,激光步枪,50,50,50,50,65,53.0
astilla,碎裂者,8,10,10,10,10,9.6
baza,苍鹰,10,15,15,20,20,16.0
boar,野猪,40,40,65,65,70,56.0
flux_rifle,通量步枪,10,15,19,20,20,16.8
cronus,克洛诺斯,9,9,10,10,10,9.6
endura,三叶坚韧,10,10,15,15,15,13.0
glaive,战刃,265,268,270,270,279,270.4
heat_sword,烈焰长剑,10,10,15,15,20,14.0
jat_kusar,喷射锁镰,10,14,15,15,20,14.8
nami_skyla,海波斯库拉对剑,10,20,20,20,20,18.0
nami_solo,海波单剑,48,49,50,60,60,53.4
nikana,侍刃,30,35,40,40,40,37.0
ninkondi,降灵追猎者,9,12,20,20,20,16.2
obex,奥比克斯,10,15,20,20,25,18.0
ohma,欧玛,20,20,30,35,35,28.0
okina,翁,45,45,73,75,80,63.6
ooltha,乌尔萨,10,10,10,10,14,10.8
orthos,欧特鲁斯,25,25,29,30,30,27.8
orvius,灵枢,10,20,20,30,40,24.0
pangolin_sword,鲮鲤剑,14,14,15,15,15,14.6
plague_keewar,瘟疫 奇沃,15,15,15,20,29,18.8
plague_kripath,瘟疫 克里帕丝,15,15,15,20,20,17.0
plasma_sword,等离子长剑,5,5,8,8,10,7.2
prova,普罗沃,8,9,10,19,20,13.2
redeemer,救赎者,19,20,20,25,25,21.8
skana,空刃,49,50,50,60,60,53.8
harpak,哈帕克,10,10,10,15,15,12.0
hema,血肢,10,10,10,10,15,11.0
hind,雌鹿,10,10,15,15,20,14.0
ignis,伊格尼斯,15,20,30,30,30,25.0
javlok,燃焰标枪,5,5,9,9,9,7.4
karak,卡拉克,20,20,20,20,30,22.0
kohm,寇恩热能枪,5,15,18,18,20,15.2
lanka,兰卡,8,9,10,10,10,9.4
paris,帕里斯,25,30,30,30,40,31.0
quartakk,夸塔克,10,12,15,15,15,13.4
scourge,祸根,15,15,20,20,20,18.0
spectra,光谱切割器,15,20,20,20,25,20.0
staticor,静电能量导引枪,5,18,20,25,25,18.6
stubba,史度巴,10,10,10,10,10,10.0
stug,史特克,14,15,20,20,31,20.0
talons,鹰爪,9,9,10,10,10,9.6
twin_grakatas,双子葛拉卡达,20,20,30,50,50,34.0
twin_gremlins,双子小精灵,10,10,10,11,15,11.2
twin_kohmak,双子寇恩霰机枪,10,12,15,15,15,13.4
twin_rogga,双子罗格,5,10,15,20,20,14.0
