url_name,zh_name,platinum1,platinum2,platinum3,platinum_avg
braton_vandal_set,布莱顿·破坏者 一套,345,349,370
dread_ward,恐惧屏障,9,13,20
primed_chamber,膛室 Prime,300,300,300
emp_aura,电磁脉冲场,8,10,10
lato_vandal_set,拉托·破坏者 一套,310,315,349
epitaph_prime_barrel,葬铭 Prime 枪管,9,10,10
arcane_squall_helmet,飑风 秘奥头盔,280,350,350
arcane_backdraft_helmet,复燃 秘奥头盔,450,499
exodia_epidemic,神威·流行病,8,10,12
arcane_swindle_helmet,诈欺 秘奥头盔,175,250,324
fortifying_fire,固盾火力,6,7,9
arcane_phoenix_helmet,凤凰 秘奥头盔,200,300,375
frak_stabilizer_blueprint,锐克稳定器 蓝图,7,10,12
sentient_surge,Sentient 涌现,250,275,290
hard_reset,硬重启,5,9
lato_vandal_barrel,拉托·破坏者 枪管,240,255,300
hushed_invisibility,静谧无踪,8,10,13
arcane_locust_helmet,飞蝗 秘奥头盔,249,250
hystrix_prime_receiver,豪猪 Prime 枪机,9,10,11
arcane_mag_gauss_helmet,Mag 高斯 秘奥头盔,290,449
ironclad_charge,铁甲冲锋,8,12,15
dog_days_night_scene,三伏天夜晚场景
karak_wraith_blueprint,卡拉克·亡魂 蓝图,20
arcane_essence_helmet,本质 秘奥头盔,120,214
maim,致残枪弹,9,9,9
arcane_chlora_helmet,氯毒 秘奥头盔,150,350,400
arcane_pulse_helmet,脉冲 秘奥头盔,199,275,650
marked_target,标记目标,9,9,10
dog_days_scene,三伏天场景,100,110,250
mecha_overdrive,机甲 超载,9,10,10
vile_discharge,邪恶释放,120,250
arcane_gambit_helmet,策略 秘奥头盔,249,450
