url_name,zh_name,platinum1,platinum2,platinum3,platinum4,platinum5,platinum_avg
kulstar,杀星,5,8,10,10,10,8.6
heliocor,赫利俄光锤,30,30,30,34,35,31.8
nagantaka,噬蛇弩,19,20,20,20,20,19.8
ocucor,视使之触,270,280,280,280,280,278.0
falcor,猎鹰轮,75,90,90,100,100,91.0
paracesis,心智之殁,19,35,50,50,50,40.8
exergis,晶能放射器,9,10,10,20,20,13.8
battacor,武使之力,20,25,30,30,30,27.0
euphona_prime,悦音 Prime,10,10,20,20,20,16.0
fusilai,齐射玻刃,10,10,10,10,10,10.0
lato,拉托,1,25,40,40,40,29.2
magnus,麦格努斯,10,10,10,10,15,11.0
ack_and_brunt,认知 & 冲击,15,19,20,30,30,22.8
amphis,双头蛇,15,19,27,30,30,24.2
anku,夺魂死神,20,20,25,25,25,23.0
arca_titron,弧电振子锤,200,200,220,220,220,212.0
balla,宝拉,40,50,50,50,60,50.0
boltace,螺钉拐刃,10,15,19,20,20,16.8
broken_war,破碎的战争之剑,25,36,40,50,50,40.2
caustacyst,灼蚀变体镰,20,25,30,30,30,27.0
cerata,裸鳃刃,30,30,30,30,32,30.4
hate,憎恨,166,180,189,200,200,187.0
soma,月神,25,28,30,30,34,29.4
synapse,突触生化枪,20,20,20,20,25,21.0
tigris,猛虎,14,14,15,15,15,14.6
tonkor,征服榴炮,30,30,30,30,35,31.0
torid,托里德,650,650,650,680,685,663.0
vectis,守望者,35,35,35,40,40,37.0
veldt,草原猎手,10,14,15,16,19,14.8
vulkar,金工火神,10,10,10,10,12,10.4
zarr,沙皇,15,20,21,25,25,21.2
zenith,天穹之顶,30,30,30,39,40,33.8
zhuge,诸葛连弩,9,15,15,15,15,13.8
acrid,阿克里德,10,10,10,10,10,10.0
afuris,盗贼双枪,10,10,19,20,20,15.8
akbolto,螺钉双枪,5,20,20,20,35,20.0
akbronco,野马双枪,9,10,10,10,15,10.8
akjagara,觉醒双枪,15,15,19,20,20,17.8
aklato,拉托双枪,5,5,10,10,10,8.0
arca_scisco,弧电探知者,9,10,10,10,10,9.8
cycron,循环离子枪,29,30,35,40,45,35.8
detron,德特昂,15,19,20,20,35,21.8
embolist,安柏勒斯,15,20,20,20,20,19.0
dual_kamas,双短柄战镰,10,15,20,25,25,19.0
kuva_shildeg,赤毒·希尔德,20,20,20,20,20,20.0
kuva_ayanga,赤毒·怒雷,40,60,100,100,100,80.0
vermisplicer,虫置,10,20,30,30,30,24.0
sporelacer,孢射,20,20,20,20,35,23.0
argonak,氩格纳克,9,10,10,15,15,11.8
castanas,雷爆信镖,10,10,10,15,15,12.0
cestra,锡斯特,30,30,35,35,35,33.0
dual_toxocyst,毒囊双枪,300,300,320,330,333,316.6
hystrix,豪猪,10,10,14,15,15,12.8
fragor,重击巨锤,25,30,30,30,30,29.0
galatine,迦伦提恩,20,20,50,50,50,38.0
gazal_machete,加扎勒反曲刀,10,10,10,10,10,10.0
gram,格拉姆,25,25,30,30,30,28.0
guandao,关刀,30,35,35,35,38,34.6
gunsen,军扇,17,20,20,20,30,21.4
dual_skana,空刃双刀,10,10,15,15,15,13.0
jaw_sword,蛇颚刀,10,10,14,15,20,13.8
kesheg,怯薛,10,10,19,20,25,16.8
kestrel,红隼,9,9,10,10,15,10.6
kronsh,客隆什,49,50,50,50,50,49.8
ballistica,布里斯提卡,10,15,20,20,20,17.0
heat_dagger,烈焰匕首,9,10,10,10,10,9.8
jat_kittag,喷射战锤,19,25,35,38,40,31.4
sonicor,超音波冲击枪,9,10,10,10,15,10.8
tombfinger,墓指,20,20,33,35,35,28.6
gaze,凝目,10,15,15,19,20,15.8
pupacyst,毒囊骨茧,10,10,15,15,15,13.0
arca_plasmor,弧电离子枪,15,20,24,25,27,22.2
galvacord,电流刺索,10,10,10,10,10,10.0
bronco,野马,20,23,25,25,25,23.6
dual_cestra,锡斯特双枪,10,15,15,22,30,18.4
furis,盗贼,145,149,160,160,170,156.8
ankyros,甲龙双拳,15,29,35,35,35,29.8
atterax,阿特拉克斯,5,10,10,10,10,9.0
bo,玻之武杖,20,50,60,70,70,54.0
cassowar,鹤鸵长戟,5,8,9,10,10,8.4
ceramic_dagger,陶瓷匕首,358,359,360,368,369,362.8
halikar,哈利卡,10,20,20,20,24,18.8
hirudo,蚂蟥,19,20,25,30,40,26.8
