url_name,zh_name,platinum1,platinum2,platinum3,platinum4,platinum5,platinum_avg
kulstar,杀星,3,5,5,5,10,5.6
heliocor,赫利俄光锤,28,30,35,37,40,34.0
nagantaka,噬蛇弩,20,22,25,40,40,29.4
ocucor,视使之触,250,260,270,270,272,264.4
falcor,猎鹰轮,50,50,70,80,80,66.0
paracesis,心智之殁,11,20,30,30,50,28.2
exergis,晶能放射器,5,10,10,11,15,10.2
battacor,武使之力,9,18,20,20,20,17.4
euphona_prime,悦音 Prime,5,5,14,15,15,10.8
fusilai,齐射玻刃,10,10,10,10,14,10.8
lato,拉托,25,30,35,40,45,35.0
magnus,麦格努斯,10,10,18,20,20,15.6
ack_and_brunt,认知 & 冲击,10,19,20,20,20,17.8
amphis,双头蛇,19,20,30,40,40,29.8
anku,夺魂死神,20,20,25,30,30,25.0
arca_titron,弧电振子锤,215,220,230,230,240,227.0
balla,宝拉,20,50,65,70,70,55.0
boltace,螺钉拐刃,15,15,19,20,20,17.8
broken_war,破碎的战争之剑,18,27,28,30,35,27.6
caustacyst,灼蚀变体镰,20,20,25,25,29,23.8
cerata,裸鳃刃,20,29,39,40,40,33.6
hate,憎恨,190,200,220,230,240,216.0
soma,月神,19,25,30,30,35,27.8
synapse,突触生化枪,20,25,30,40,40,31.0
tigris,猛虎,10,14,14,15,15,13.6
tonkor,征服榴炮,29,35,40,40,40,36.8
torid,托里德,570,598,598,599,600,593.0
vectis,守望者,30,45,50,50,50,45.0
veldt,草原猎手,5,10,10,20,20,13.0
vulkar,金工火神,9,10,10,10,11,10.0
zarr,沙皇,15,15,15,20,20,17.0
zenith,天穹之顶,22,35,40,40,40,35.4
zhuge,诸葛连弩,9,10,15,15,20,13.8
acrid,阿克里德,9,10,10,10,15,10.8
afuris,盗贼双枪,15,20,25,25,25,22.0
akbolto,螺钉双枪,19,20,20,20,20,19.8
akbronco,野马双枪,8,9,10,10,15,10.4
akjagara,觉醒双枪,15,15,15,15,19,15.8
aklato,拉托双枪,5,10,10,10,10,9.0
arca_scisco,弧电探知者,9,9,10,10,10,9.6
cycron,循环离子枪,25,25,28,29,30,27.4
detron,德特昂,15,15,15,19,19,16.6
embolist,安柏勒斯,10,10,10,15,15,12.0
dual_kamas,双短柄战镰,10,20,20,25,25,20.0
kuva_shildeg,赤毒·希尔德,20,20,24,30,40,26.8
kuva_ayanga,赤毒·怒雷,21,30,40,40,40,34.2
vermisplicer,虫置,25,30,30,30,40,31.0
sporelacer,孢射,10,20,20,20,20,18.0
argonak,氩格纳克,5,9,15,18,20,13.4
castanas,雷爆信镖,5,5,7,15,15,9.4
