kulstar,杀星,30,40,50,50,50
heliocor,赫利俄光锤,20,30,30,45,100
nagantaka,噬蛇弩,15,19,20,25,40
ocucor,视使之触,280,280,280,299,299
falcor,猎鹰轮,35,50,59,60,70
paracesis,心智之殁,17,20,20,50,50
exergis,晶能放射器,16,20,20,25,45
battacor,武使之力,5,10,29,30,45
euphona_prime,悦音 Prime,15,30,35,50,50
fusilai,齐射玻刃,8,12,15,20,70
lato,拉托,35,40,40,50,50
magnus,麦格努斯,9,14,15,15,15
ack_and_brunt,认知 & 冲击,15,15,28,30,30
amphis,双头蛇,10,15,15,20,20
anku,夺魂死神,35,39,40,40,50
arca_titron,弧电振子锤,220,220,250,280,299
balla,宝拉,45,65,70,80,80
boltace,螺钉拐刃,30,50,50,99,100
broken_war,破碎的战争之剑,15,20,21,25,50
caustacyst,灼蚀变体镰,20,20,25,29,30
cerata,裸鳃刃,30,50,50,95,100
hate,憎恨,250,270,300,300,300
soma,月神,30,30,35,40,45
synapse,突触生化枪,20,20,25,25,30
tigris,猛虎,15,15,15,15,17
tonkor,征服榴炮,33,33,40,40,40
torid,托里德,550,578,580,580,580
vectis,守望者,35,38,39,40,40
veldt,草原猎手,15,15,20,20,20
vulkar,金工火神,10,10,11,15,15
zarr,沙皇,20,20,20,20,25
zenith,天穹之顶,30,30,35,45,50
zhuge,诸葛连弩,10,15,15,15,20
acrid,阿克里德,10,10,10,15,15
afuris,盗贼双枪,10,15,20,20,20
akbolto,螺钉双枪,10,15,15,18,19
akbronco,野马双枪,10,30,35,40,60
akjagara,觉醒双枪,10,14,15,15,20
aklato,拉托双枪,10,10,10,10,15
arca_scisco,弧电探知者,10,15,20,20,20
cycron,循环离子枪,25,25,30,30,30
detron,德特昂,17,19,20,25,30
embolist,安柏勒斯,15,15,20,25,35
dual_kamas,双短柄战镰,15,20,30,49,50
kuva_shildeg,赤毒·希尔德,12,20,24,24,30
kuva_ayanga,赤毒·怒雷,30,30,40,50,50
vermisplicer,虫置,30,30,40,40,50
sporelacer,孢射,15,40,40,45,50
argonak,氩格纳克,15,19,20,20,40
castanas,雷爆信镖,10,10,10,15,17
cestra,锡斯特,39,50,60,66,70
dual_toxocyst,毒囊双枪,270,300,300,330,350
hystrix,豪猪,9,30,50,50,75
fragor,重击巨锤,29,29,30,30,30
galatine,迦伦提恩,10,20,25,30,50
gazal_machete,加扎勒反曲刀,9,10,15,20,20
gram,格拉姆,25,35,37,40,50
guandao,关刀,19,28,30,35,35
gunsen,军扇,20,40,40,59,80
dual_skana,空刃双刀,10,20,20,30,30
jaw_sword,蛇颚刀,15,15,20,20,20
kesheg,怯薛,10,10,15,15,15
kestrel,红隼,10,10,14,15,15
kronsh,客隆什,35,50,50,99,100
ballistica,布里斯提卡,15,30,30,40,50
heat_dagger,烈焰匕首,9,9,10,10,10
jat_kittag,喷射战锤,20,35,40,50,100
sonicor,超音波冲击枪,10,10,10,15,15
tombfinger,墓指,40,40,40,40,50
gaze,凝目,14,15,15,15,15
pupacyst,毒囊骨茧,20,20,20,25,25
arca_plasmor,弧电离子枪,30,30,40,45,50
galvacord,电流刺索,8,10,15,18,20
bronco,野马,14,20,25,50,50
dual_cestra,锡斯特双枪,10,12,15,19,30
furis,盗贼,175,195,200,200,200
ankyros,甲龙双拳,8,15,20,20,20
atterax,阿特拉克斯,10,14,20,30,30
bo,玻之武杖,85,90,90,95,97
cassowar,鹤鸵长戟,10,18,19,20,20
ceramic_dagger,陶瓷匕首,380,399,400,400,400
halikar,哈利卡,15,19,20,100,100
hirudo,蚂蟥,19,30,75,99,99
mire,米尔,9,17,18,20,45
twin_krohkur,双子克鲁古尔,15,15,20,25,40
latron,拉特昂,125,160,165,170,170
lenz,楞次弓,10,10,15,15,18
miter,米特尔,24,25,30,30,30
mutalist_cernos,异融西诺斯,10,20,20,22,25
mutalist_quanta,异融量子枪,10,10,10,14,20
opticor,奥堤克光子枪,10,19,20,20,20
panthera,猎豹,9,10,10,10,10
penta,潘塔,15,20,20,20,20
phage,噬菌者,15,20,29,30,30
phantasma,幻离子,30,30,40,45,45
quanta,量子切割器,10,10,15,20,20
rubico,绝路,30,40,45,45,45
simulor,重力奇点拟成枪,10,20,20,20,30
snipetron,狙击特昂,10,15,20,20,20
sobek,鳄神,29,29,29,30,30
stradavar,斯特拉迪瓦,1,10,10,14,15
strun,斯特朗,100,100,100,100,100
sybaris,席芭莉丝,50,60,65,69,70
tetra,特拉,25,30,35,35,50
gammacor,咖玛腕甲枪,24,24,25,40,50
nukor,努寇微波枪,40,44,45,50,50
pandero,手鼓,10,10,12,15,15
pox,脓痘,8,15,15,15,20
pyrana,食人鱼,25,30,30,38,38
sicarus,暗杀者,60,60,70,70,70
spira,旋刃飞刀,9,20,20,50,80
dehtat,德塔特,5,8,10,14,15
destreza,技巧之剑,20,30,40,45,75
dex_dakra,Dex 达克拉双剑,20,20,20,30,35
dokrahm,多克拉姆,22,30,50,75,80
dragon_nikana,龙之侍刃,20,20,29,30,40
dual_cleavers,斩肉双刀,15,20,50,50,60
dual_ether,苍穹双剑,25,30,30,30,40
dual_heat_swords,烈焰双剑,10,10,20,25,35
dual_ichor,恶脓双斧,100,130,130,139,140
dual_keres,凯瑞斯双刀,20,30,30,40,48
kama,短柄战镰,11,15,15,15,20
kogake,科加基,10,25,40,40,50
multron,多连穿甲枪,12,30,30,30,50
vulcax,金工火舌,30,30,40,40,50
masseter,咀嚼金棒,8,10,15,24,30
pathocyst,病囊飞刃,20,20,29,30,31
kuva_chakkhurr,赤毒·邪眼,20,20,21,25,25
lecta,勒克塔,23,40,75,198,200
machete,马谢特砍刀,15,20,35,49,250
magistar,执法者,489,490,499,500,500
mewan,密丸,5,10,20,20,25
mios,牡狮神,10,15,20,30,30
rabvee,拉比威,60,80,100,100,150
war,战争之剑,30,30,30,40,56
artax,阿塔克斯,30,50,50,50,80
burst_laser,激光点发,21,30,30,40,40
deth_machine_rifle,死亡机枪,25,30,30,40,42
laser_rifle,激光步枪,55,80,80,100,100
astilla,碎裂者,10,10,20,20,30
baza,苍鹰,15,20,25,50,50
boar,野猪,90,90,90,99,100
flux_rifle,通量步枪,10,12,20,20,20
cronus,克洛诺斯,10,12,20,20,25
endura,三叶坚韧,5,10,15,25,30
glaive,战刃,270,299,300,300,340
heat_sword,烈焰长剑,10,10,10,30,34
jat_kusar,喷射锁镰,20,20,25,35,50
nami_skyla,海波斯库拉对剑,15,20,20,20,35
nami_solo,海波单剑,50,50,50,50,50
nikana,侍刃,40,45,50,68,75
ninkondi,降灵追猎者,15,20,40,50,60
obex,奥比克斯,10,15,15,20,20
ohma,欧玛,20,40,40,45,50
okina,翁,60,80,88,88,88
ooltha,乌尔萨,10,10,20,20,20
orthos,欧特鲁斯,20,28,45,50,80
orvius,灵枢,15,20,20,30,40
pangolin_sword,鲮鲤剑,15,15,15,20,25
plague_keewar,瘟疫 奇沃,10,13,14,15,30
plague_kripath,瘟疫 克里帕丝,15,15,20,20,20
plasma_sword,等离子长剑,10,10,15,40,50
prova,普罗沃,8,9,10,10,10
redeemer,救赎者,28,40,49,49,50
skana,空刃,60,80,80,88,88
harpak,哈帕克,5,10,10,10,10
hema,血肢,20,20,20,20,20
hind,雌鹿,12,15,15,20,20
ignis,伊格尼斯,35,40,40,50,50
javlok,燃焰标枪,17,20,30,45,50
karak,卡拉克,15,20,30,30,40
kohm,寇恩热能枪,20,20,30,40,45
lanka,兰卡,5,7,10,10,15
paris,帕里斯,30,30,30,35,40
quartakk,夸塔克,15,25,30,30,40
scourge,祸根,10,15,20,20,30
spectra,光谱切割器,15,20,20,30,40
staticor,静电能量导引枪,5,10,20,30,40
stubba,史度巴,10,10,10,10,12
stug,史特克,20,20,45,50,150
talons,鹰爪,10,15,20,25,80
twin_grakatas,双子葛拉卡达,60,80,100,150,400
twin_gremlins,双子小精灵,10,20,25,30,30
twin_kohmak,双子寇恩霰机枪,10,10,20,25,39
twin_rogga,双子罗格,20,20,20,30,30
twin_vipers,双子蝰蛇,5,10,12,15,30
tysis,啐沫者,20,20,20,30,40
vasto,瓦斯托,35,35,40,45,50
viper,蝰蛇,10,20,35,35,50
zylok,席尔火枪,10,17,20,29,50
dakra_prime,达克拉 Prime,18,20,20,24,50
