url_name,zh_name,platinum1,platinum2,platinum3,platinum_avg
dread_ward,恐惧屏障,12,15,15
braton_vandal_set,布莱顿·破坏者 一套,315,315,320
primed_chamber,膛室 Prime,300,320,320
emp_aura,电磁脉冲场,10,11,12
lato_vandal_set,拉托·破坏者 一套,340,350,350
epitaph_prime_barrel,葬铭 Prime 枪管,7,9,9
arcane_squall_helmet,飑风 秘奥头盔,285,290,290
exodia_epidemic,神威·流行病,10,15,15
arcane_backdraft_helmet,复燃 秘奥头盔,200,300,450
fortifying_fire,固盾火力,7,7,7
arcane_swindle_helmet,诈欺 秘奥头盔,300,350,380
frak_stabilizer_blueprint,锐克稳定器 蓝图,10,10,10
arcane_phoenix_helmet,凤凰 秘奥头盔,190,200,200
hard_reset,硬重启,9,10,10
sentient_surge,Sentient 涌现,283,283,283
hushed_invisibility,静谧无踪,12,15,19
hystrix_prime_receiver,豪猪 Prime 枪机,8,10,10
lato_vandal_barrel,拉托·破坏者 枪管,250,279,300
ironclad_charge,铁甲冲锋,9,9,12
arcane_locust_helmet,飞蝗 秘奥头盔,190,210,250
karak_wraith_blueprint,卡拉克·亡魂 蓝图,9,10,10
arcane_mag_gauss_helmet,Mag 高斯 秘奥头盔,135,150,190
maim,致残枪弹,10,10,10
dog_days_night_scene,三伏天夜晚场景,80
marked_target,标记目标,9,10,10
arcane_essence_helmet,本质 秘奥头盔,85,190,200
mecha_overdrive,机甲 超载,10,10,15
mesas_waltz,Mesa 的华尔兹,10,10,10
arcane_chlora_helmet,氯毒 秘奥头盔,190,190
mountains_edge,山之锋芒,4,8,8
arcane_pulse_helmet,脉冲 秘奥头盔,170,200,200
dog_days_scene,三伏天场景,100,150,300
necramech_drift,殁世机甲 窜升,9,10,10
vile_discharge,邪恶释放,135,250
arcane_gambit_helmet,策略 秘奥头盔,185,199,250
necramech_slipstream,殁世机甲 滑流,5,9,9
silver_grove_shrine_scene,落银树庭圣所场景,50,70,100
niras_anguish,混沌蛇主之苦,8,9,9
arcane_aura_helmet,预言 秘奥头盔,145,200,210
null_audit,虚无审计,10,10,12
arcane_vespa_helmet,黄蜂 秘奥头盔,111,200,340
arcane_hemlock_helmet,铁杉 秘奥头盔,290,450
onorix_handle,奥努里克斯 握柄,10,11,14
morgha_set,置灵者 一套,299
overextended,过度延展,10,10,10
hespar_set,暮斩 一套,160,171,180
color_key_scene,色键场景,70,98,99
phaedra_receiver,菲德菈 枪机,10,10,10
arcane_avalon_helmet,阿瓦隆 秘奥头盔,115,120,135
phantasma_prime_barrel,幻离子 Prime 枪管,10,10,12
boar_prime_set,野猪 Prime 一套,150,158,160
power_of_three,三幂之力,9,10,10
purifying_flames,净化烈焰,9,10,10
braton_vandal_blueprint,布莱顿·破坏者 蓝图,149,149,150
radiant_finish,终结闪光,11,15,15
arcane_flux_helmet,通量 秘奥头盔,99,100,149
raksa_kubrow_imprint,防护型库狛 基因印记,8,10,10
sporothrix_set,孢丝感染枪 一套,145,145,150
saryn_prime_neuroptics_blueprint,Saryn Prime 头部神经光元 蓝图,9,9,10
hard_engage,以硬碰硬,5,149
arum_spinosa_set,疆南星刺 一套,170,180,250
shattering_justice,破碎正义,8,10,10
dual_kamas_prime_set,双短柄战镰 Prime 一套,149,150,150
shedu_chassis,舍杜 机体,9,9,10
shockwave_actuators,震波驱动器
shocking_speed,电击加速,10,11,14
vauban_prime_set,Vauban Prime 一套,145,145,150
shotgun_scavenger,霰弹枪弹药搜集者,9,9,10
paralytic_spores,瘫痪孢子,180
strain_consume,菌株 吸收,9,9,9
medjay_predasite_imprint,守卫扑猎达赛 基因印记,35,40,200
vexing_retaliation,怨怒报复,10,14,15
akstiletto_prime_set,史提托双枪 Prime 一套,125,130,130
vigilante_fervor,私法 热诚,8,9,9
auto_omni,万用自修,19,30,80
accumulating_whipclaw,蓄积长鞭,10,10,10
xata_invocation,Xata 神祈,95,95,95
akarius_prime_receiver,阿利乌双枪 Prime 枪机,9,10,10
hespar_blade_blueprint,暮斩 刀刃 蓝图,130,135,159
aklex_prime_blueprint,雷克斯双枪 Prime 蓝图,9,9,10
arcane_scorpion_helmet,毒蝎 秘奥头盔,75,90,98
spira_prime_set,旋刃飞刀 Prime 一套,119,120,120
auto_breach,自动破解,8,10,10
arcane_esprit_helmet,机敏 秘奥头盔,95,149,190
braton_vandal_barrel,布莱顿·破坏者 枪管,10,10,15
arcane_aurora_helmet,极光 秘奥头盔,115,120,120
carnis_stinger,肉碾虫 针刺,8,10,10
ember_prime_systems_blueprint,Ember Prime 系统 蓝图,8,8,8
arcane_reverb_helmet,返响 秘奥头盔,90,100,125
entropy_burst,熵数爆发,5,7,9
cortege_set,送葬者 一套,299
netherbarrow_region_scene,幽冥陵地区场景,30,49
entropy_spike,熵数尖钉,9,10,14
mag_prime_set,Mag Prime 一套,109,110,115
felarx_blueprint,逐枭 蓝图,10,10,10
security_override,协议覆盖
nami_skyla_prime_set,海波斯库拉对剑 Prime 一套,110,110,110
glaive_prime_disc,战刃 Prime 圆盘,10,10,10
latron_prime_set,拉特昂 Prime 一套,140,140,143
hypothermic_shell,低温外壳,9,9,10
infested_impedance,感染者阻抗,8,9,10
braton_vandal_stock,布莱顿·破坏者 枪托,100,105,120
kaszas_blade,死亡使徒 刀刃,10,10,10
legendary_fusion_core,传说核心,120,125,125
prisma_shade_set,棱晶 阴影 一套,98,115,120
kaszas_handle,死亡使徒 握柄,8,9,10
