url_name,zh_name,platinum1,platinum2,platinum3,platinum4,platinum5,platinum_avg
kulstar,杀星,10,20,25,30,70,31.0
heliocor,赫利俄光锤,40,60,100,100,100,80.0
nagantaka,噬蛇弩,30,35,40,50,50,41.0
ocucor,视使之触,270,270,280,280,288,277.6
falcor,猎鹰轮,40,40,45,50,50,45.0
paracesis,心智之殁,14,17,20,20,30,20.2
exergis,晶能放射器,10,20,20,20,20,18.0
battacor,武使之力,19,20,20,25,29,22.6
euphona_prime,悦音 Prime,10,10,15,15,20,14.0
fusilai,齐射玻刃,10,10,15,20,20,15.0
lato,拉托,30,30,40,40,40,36.0
magnus,麦格努斯,10,23,25,25,30,22.6
ack_and_brunt,认知 & 冲击,15,15,15,20,25,18.0
amphis,双头蛇,20,20,25,40,100,41.0
anku,夺魂死神,40,40,45,45,50,44.0
arca_titron,弧电振子锤,200,200,200,200,200,200.0
balla,宝拉,45,49,50,50,60,50.8
boltace,螺钉拐刃,14,17,20,30,50,26.2
broken_war,破碎的战争之剑,13,20,20,25,29,21.4
caustacyst,灼蚀变体镰,20,20,20,28,29,23.4
cerata,裸鳃刃,35,35,40,40,40,38.0
hate,憎恨,248,250,255,270,270,258.6
soma,月神,25,35,35,40,40,35.0
synapse,突触生化枪,10,13,13,15,19,14.0
tigris,猛虎,12,15,15,20,20,16.4
tonkor,征服榴炮,15,30,35,37,40,31.4
torid,托里德,560,565,569,570,570,566.8
vectis,守望者,25,25,25,25,30,26.0
veldt,草原猎手,5,5,10,15,20,11.0
vulkar,金工火神,8,10,11,15,18,12.4
zarr,沙皇,9,10,10,25,25,15.8
zenith,天穹之顶,26,28,45,45,50,38.8
zhuge,诸葛连弩,10,15,20,20,20,17.0
acrid,阿克里德,10,10,10,10,10,10.0
afuris,盗贼双枪,14,20,20,20,20,18.8
akbolto,螺钉双枪,10,10,19,20,20,15.8
akbronco,野马双枪,1,10,25,30,30,19.2
akjagara,觉醒双枪,10,15,20,30,50,25.0
aklato,拉托双枪,8,10,10,15,15,11.6
arca_scisco,弧电探知者,10,13,15,20,20,15.6
cycron,循环离子枪,20,50,50,60,60,48.0
detron,德特昂,18,19,19,20,25,20.2
embolist,安柏勒斯,10,15,15,15,20,15.0
dual_kamas,双短柄战镰,10,30,45,49,50,36.8
kuva_shildeg,赤毒·希尔德,20,20,25,29,35,25.8
kuva_ayanga,赤毒·怒雷,35,39,40,40,40,38.8
vermisplicer,虫置,15,20,20,20,20,19.0
sporelacer,孢射,15,15,15,15,20,16.0
argonak,氩格纳克,15,19,19,19,20,18.4
castanas,雷爆信镖,10,14,15,18,20,15.4
cestra,锡斯特,55,60,60,65,66,61.2
dual_toxocyst,毒囊双枪,260,295,300,300,300,291.0
hystrix,豪猪,10,20,25,30,30,23.0
fragor,重击巨锤,35,35,40,45,50,41.0
galatine,迦伦提恩,13,20,50,50,50,36.6
gazal_machete,加扎勒反曲刀,7,10,19,20,20,15.2
gram,格拉姆,25,25,25,25,34,26.8
guandao,关刀,25,30,30,30,35,30.0
gunsen,军扇,20,25,25,30,39,27.8
dual_skana,空刃双刀,5,13,15,15,20,13.6
jaw_sword,蛇颚刀,9,70,100,100,150,85.8
kesheg,怯薛,15,15,15,20,20,17.0
kestrel,红隼,10,10,10,15,20,13.0
kronsh,客隆什,25,30,35,40,50,36.0
ballistica,布里斯提卡,10,15,15,20,20,16.0
heat_dagger,烈焰匕首,5,10,10,14,44,16.6
jat_kittag,喷射战锤,20,20,25,30,30,25.0
sonicor,超音波冲击枪,10,10,10,10,10,10.0
tombfinger,墓指,30,35,35,35,35,34.0
gaze,凝目,10,20,20,20,20,18.0
pupacyst,毒囊骨茧,6,15,20,29,80,30.0
arca_plasmor,弧电离子枪,25,30,30,30,35,30.0
galvacord,电流刺索,8,8,10,15,18,11.8
bronco,野马,19,25,40,40,55,35.8
dual_cestra,锡斯特双枪,7,10,13,15,15,12.0
furis,盗贼,149,170,180,180,195,174.8
ankyros,甲龙双拳,5,8,10,20,30,14.6
atterax,阿特拉克斯,8,10,20,20,30,17.6
bo,玻之武杖,70,100,100,100,120,98.0
cassowar,鹤鸵长戟,5,10,10,10,15,10.0
ceramic_dagger,陶瓷匕首,300,350,350,375,390,353.0
halikar,哈利卡,10,20,39,95,100,52.8
hirudo,蚂蟥,10,19,20,25,60,26.8
mire,米尔,10,13,17,18,20,15.6
twin_krohkur,双子克鲁古尔,13,15,35,35,39,27.4
latron,拉特昂,150,150,150,155,180,157.0
lenz,楞次弓,15,18,18,20,20,18.2
miter,米特尔,19,20,20,20,20,19.8
mutalist_cernos,异融西诺斯,9,13,15,20,25,16.4
mutalist_quanta,异融量子枪,5,10,12,20,20,13.4
opticor,奥堤克光子枪,15,19,20,20,20,18.8
panthera,猎豹,9,9,10,10,15,10.6
penta,潘塔,10,15,15,15,25,16.0
phage,噬菌者,20,35,40,50,50,39.0
phantasma,幻离子,15,30,30,30,30,27.0
quanta,量子切割器,10,13,19,20,20,16.4
