url_name,zh_name,platinum1,platinum2,platinum3,platinum4,platinum5,platinum_avg
kulstar,杀星,3,5,10,10,10,7.6
heliocor,赫利俄光锤,30,30,35,35,35,33.0
nagantaka,噬蛇弩,14,20,20,20,20,18.8
ocucor,视使之触,245,250,280,281,289,269.0
falcor,猎鹰轮,40,50,50,50,50,48.0
paracesis,心智之殁,11,20,40,40,50,32.2
exergis,晶能放射器,10,10,14,14,15,12.6
battacor,武使之力,9,20,20,20,22,18.2
euphona_prime,悦音 Prime,9,10,10,10,14,10.6
fusilai,齐射玻刃,10,10,10,10,10,10.0
lato,拉托,18,20,30,35,35,27.6
magnus,麦格努斯,10,10,10,10,14,10.8
ack_and_brunt,认知 & 冲击,10,10,19,19,20,15.6
amphis,双头蛇,19,20,30,30,40,27.8
anku,夺魂死神,19,20,30,30,32,26.2
arca_titron,弧电振子锤,185,219,220,220,230,214.8
balla,宝拉,20,50,60,60,60,50.0
boltace,螺钉拐刃,10,10,19,19,20,15.6
broken_war,破碎的战争之剑,30,30,35,35,36,33.2
caustacyst,灼蚀变体镰,15,20,25,25,29,22.8
cerata,裸鳃刃,30,30,40,40,44,36.8
hate,憎恨,190,190,190,200,200,194.0
soma,月神,23,25,25,25,28,25.2
synapse,突触生化枪,15,20,20,25,25,21.0
tigris,猛虎,10,14,14,15,15,13.6
tonkor,征服榴炮,29,30,30,35,35,31.8
torid,托里德,590,594,599,599,600,596.4
vectis,守望者,30,30,30,35,35,32.0
veldt,草原猎手,15,20,20,20,30,21.0
vulkar,金工火神,10,10,10,10,15,11.0
zarr,沙皇,10,20,20,20,20,18.0
zenith,天穹之顶,20,22,30,30,34,27.2
zhuge,诸葛连弩,9,10,15,15,20,13.8
acrid,阿克里德,10,10,10,15,20,13.0
afuris,盗贼双枪,10,10,15,15,20,14.0
akbolto,螺钉双枪,8,10,10,10,10,9.6
akbronco,野马双枪,1,9,10,15,15,10.0
akjagara,觉醒双枪,15,19,20,30,35,23.8
aklato,拉托双枪,5,10,10,10,10,9.0
arca_scisco,弧电探知者,10,10,10,15,23,13.6
cycron,循环离子枪,25,29,30,40,40,32.8
detron,德特昂,15,15,15,19,19,16.6
embolist,安柏勒斯,10,10,10,15,15,12.0
dual_kamas,双短柄战镰,10,12,20,20,20,16.4
kuva_shildeg,赤毒·希尔德,15,20,20,40,40,27.0
kuva_ayanga,赤毒·怒雷,21,38,40,40,40,35.8
vermisplicer,虫置,30,30,30,30,30,30.0
sporelacer,孢射,10,15,20,20,20,17.0
argonak,氩格纳克,10,10,10,15,15,12.0
castanas,雷爆信镖,10,10,15,20,20,15.0
cestra,锡斯特,40,45,50,50,55,48.0
dual_toxocyst,毒囊双枪,270,290,300,300,330,298.0
hystrix,豪猪,9,10,14,15,15,12.6
fragor,重击巨锤,30,30,40,40,50,38.0
galatine,迦伦提恩,20,20,40,45,50,35.0
gazal_machete,加扎勒反曲刀,10,10,15,19,20,14.8
gram,格拉姆,25,30,30,30,35,30.0
guandao,关刀,20,35,35,38,40,33.6
gunsen,军扇,20,20,20,20,20,20.0
dual_skana,空刃双刀,9,15,20,20,30,18.8
jaw_sword,蛇颚刀,10,12,12,14,15,12.6
kesheg,怯薛,10,12,19,20,20,16.2
kestrel,红隼,10,10,15,15,19,13.8
kronsh,客隆什,45,49,49,50,50,48.6
ballistica,布里斯提卡,10,14,15,20,20,15.8
heat_dagger,烈焰匕首,5,9,10,10,10,8.8
jat_kittag,喷射战锤,20,30,30,35,38,30.6
sonicor,超音波冲击枪,5,5,9,10,10,7.8
tombfinger,墓指,20,30,35,35,35,31.0
gaze,凝目,10,10,10,12,12,10.8
pupacyst,毒囊骨茧,10,15,15,15,19,14.8
arca_plasmor,弧电离子枪,27,27,28,30,30,28.4
galvacord,电流刺索,10,10,10,15,15,12.0
bronco,野马,25,25,25,39,40,30.8
dual_cestra,锡斯特双枪,10,20,22,30,30,22.4
furis,盗贼,144,150,160,160,200,162.8
ankyros,甲龙双拳,10,10,15,20,20,15.0
atterax,阿特拉克斯,8,10,10,13,20,12.2
bo,玻之武杖,50,70,75,80,80,71.0
cassowar,鹤鸵长戟,5,13,15,15,20,13.6
ceramic_dagger,陶瓷匕首,370,380,380,380,380,378.0
halikar,哈利卡,10,20,20,20,20,18.0
hirudo,蚂蟥,15,16,19,20,30,20.0
mire,米尔,5,10,10,17,20,12.4
twin_krohkur,双子克鲁古尔,20,20,30,50,50,34.0
latron,拉特昂,95,144,145,149,150,136.6
lenz,楞次弓,9,10,10,20,20,13.8
miter,米特尔,24,35,50,50,50,41.8
mutalist_cernos,异融西诺斯,9,10,10,15,15,11.8
mutalist_quanta,异融量子枪,8,10,15,16,20,13.8
opticor,奥堤克光子枪,10,15,15,15,20,15.0
panthera,猎豹,9,10,15,15,25,14.8
penta,潘塔,10,10,10,15,15,12.0
phage,噬菌者,20,20,20,30,30,24.0
phantasma,幻离子,24,25,30,30,30,27.8
quanta,量子切割器,10,20,20,20,20,18.0
rubico,绝路,30,34,35,45,45,37.8
simulor,重力奇点拟成枪,4,12,15,20,20,14.2
snipetron,狙击特昂,10,10,15,15,15,13.0
sobek,鳄神,22,35,35,35,35,32.4
stradavar,斯特拉迪瓦,7,9,9,10,10,9.0
strun,斯特朗,50,70,70,70,70,66.0
sybaris,席芭莉丝,65,69,75,85,99,78.6
tetra,特拉,19,20,24,25,29,23.4
gammacor,咖玛腕甲枪,20,25,30,40,40,31.0
nukor,努寇微波枪,30,34,35,35,36,34.0
pandero,手鼓,10,10,15,15,20,14.0
